
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN1234, semester = WINTER | Request state: Failed | Server response: Course  SOEN1234  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN1234, semester = WINTER | Request state: Failed | Server response: Course  SOEN1234  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN1234, semester = WINTER | Request state: Failed | Server response: Course  SOEN1234  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN1234, semester = WINTER | Request state: Failed | Server response: Course  SOEN1234  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3322, courseID = SOEN1234, semester = WINTER | Request state: Failed | Server response: Course  SOEN1234  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS32322, courseID = SOEN1234, semester = WINTER | Request state: Failed | Server response: Course  SOEN1234  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS2255, courseID = SOEN1234, semester = FALL | Request state: Failed | Server response: Course  SOEN1234  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN123444, semester = WINTER | Request state: Failed | Server response: Course  SOEN123444  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Add a course (advisor) | Request parameter: semester = WINTER, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: The courseID does not belong to the department COMP
Logged request date: 11/16/2018 08:03 | Request type: Add a course (advisor) | Request parameter: semester = WINTER, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: The courseID does not belong to the department COMP
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: Course  SOEN883  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS332, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: Course  SOEN883  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3445, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: Course  SOEN883  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3245, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: Course  SOEN883  not found in the database
Logged request date: 11/16/2018 08:03 | Request type: Get class schedule (student) | Request parameter: studentID = SOENS3355 | Request state: Successful | Server response: COMP student courses = Student has not enrolled to any course in any semester in the department COMP
Logged request date: 11/16/2018 08:03 | Request type: Drop a course (student) | Request parameter: studentID = SOENS3245, courseID = SOEN883 | Request state: Failed | Server response: The student with ID SOENS3245 did not have a course SOEN883 that could be dropped.
Logged request date: 11/16/2018 08:03 | Request type: Drop a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN883 | Request state: Failed | Server response: The student with ID SOENS3355 did not have a course SOEN883 that could be dropped.
Logged request date: 11/16/2018 08:03 | Request type: Drop a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN883 | Request state: Failed | Server response: The student with ID SOENS3355 did not have a course SOEN883 that could be dropped.
Logged request date: 11/16/2018 08:03 | Request type: Get class schedule (student) | Request parameter: studentID = SOENS3355 | Request state: Successful | Server response: COMP student courses = Student has not enrolled to any course in any semester in the department COMP
Logged request date: 11/16/2018 08:03 | Request type: Delete a course (advisor) | Request parameter: semester = WINTER, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: A course SOEN883 does not exists for WINTER semester
Logged request date: 11/16/2018 08:03 | Request type: Delete a course (advisor) | Request parameter: semester = WINTER, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: A course SOEN883 does not exists for WINTER semester
Logged request date: 11/16/2018 08:03 | Request type: Get class schedule (student) | Request parameter: studentID = SOENS3355 | Request state: Successful | Server response: COMP student courses = Student has not enrolled to any course in any semester in the department COMP
Logged request date: 11/16/2018 08:03 | Request type: List course availability (advisor) | Request parameter: semester = WINTER | Request state: Successful | Server response: SOEN WINTER - SOEN556 2, SOEN349 2, SOEN1234 0, INSE WINTER - INSE349 2, INSE1234 2, INSE556 2, COMP WINTER - COMP556 2, COMP349 2, COMP1234 2, 
